DT_ID;DT_Name;DT_AllowUserToCreateObjectType;DT_Complex;DT_ST_ID_StorageType;DT_Entity;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1;Text;0;0;1;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061E8
2;Nummer;0;0;2;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061E9
3;Bild;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061EA
4;Ljud;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061EB
5;Film;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061EC
6;Datum;0;0;4;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061ED
7;Ja/Nej;0;0;5;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061EE
8;Länk;0;0;1;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061EF
9;PDF-dokument;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F0
10;Word-Dokument;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F1
11;Excel-dokument;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F2
12;Powerpointpresentation;0;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F3
13;Övriga filtyper;1;0;3;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F4
14;Komplex typ med text-id;1;1;1;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F5
16;Komplex Ja/Nej (adderar attribut);1;1;5;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;SITS1\daniel.gidlof;2007-03-19 10:14:24.777;0x00000000000061F6
