OTC_ID;OTC_Name;OTC_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1;Styrningar och typer;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000740C
2;Styrningar;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000740D
3;Typer;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000740E
4;Fabrikat;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000740F
5;Objekt;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007410
6;SS 817340, dörrstandarden;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SAMRUMUser;2015-06-06 15:44:27.760;0x0000000000052EE0
7;AMA-beskrivning A;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000001C36D
8;Dörr- och säkerhetskrav;NULL;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SAMRUMUser;2015-06-06 18:39:01.160;0x0000000000052FA0
11;Inredning;NULL;SAMRUMUser;2010-07-15 15:01:25.070;SAMRUMUser;2010-07-15 15:01:25.070;0x0000000000035496
12;Brandskyddsdokumentation;NULL;SAMRUMUser;2010-10-04 13:06:05.593;SAMRUMUser;2010-10-04 13:06:05.593;0x0000000000037FEE
13;Aktivitetsbeskrivning avdelning;NULL;SAMRUMUser;2010-11-05 07:53:35.767;SAMRUMUser;2017-01-23 10:57:24.753;0x0000000000065D54
14;El-, vatten- och energimätare;El, vatten och energimätare;SAMRUMUser;2011-07-02 13:44:16.917;SAMRUMUser;2011-07-02 15:38:35.207;0x000000000003DE39
15;Utskrivna handlingar;NULL;SAMRUMUser;2012-02-04 09:10:40.540;SAMRUMUser;2012-02-04 09:10:40.540;0x0000000000041074
16;Ställverk;NULL;SAMRUMUser;2013-10-25 13:57:06.713;SAMRUMUser;2013-10-25 13:57:06.713;0x0000000000049CFB
17;Väggbehandlingar;NULL;SAMRUMUser;2015-06-05 22:14:21.793;SAMRUMUser;2015-06-07 09:32:32.497;0x000000000005302F
18;Golv;NULL;SAMRUMUser;2015-06-05 22:14:40.317;SAMRUMUser;2015-06-05 22:14:40.317;0x0000000000052A9C
19;Golvsocklar och taklister;NULL;SAMRUMUser;2015-06-05 22:26:54.530;SAMRUMUser;2015-06-07 15:39:29.053;0x0000000000053822
20;Taklister;NULL;SAMRUMUser;2015-06-05 22:27:12.990;SAMRUMUser;2015-06-05 22:27:12.990;0x0000000000052AC9
21;Akustik;NULL;SAMRUMUser;2015-06-05 22:38:11.677;SAMRUMUser;2015-06-05 22:38:11.677;0x0000000000052AF4
