OTM_ID;OTM_OT_ID_ObjectType;OTM_PMO_ID_Module;OTM_AllowEdit;OTM_ShowObjectTypeAsRoot;OTM_AllowInsert;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;OTM_IsMainObjectType
807;161;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000746F;0
808;162;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007470;0
810;164;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007472;0
811;157;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007473;0
812;156;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007474;0
813;155;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007475;0
814;165;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007476;0
815;128;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007477;0
817;146;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007479;0
818;152;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000747A;0
819;148;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000747B;0
822;147;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000747E;0
823;129;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000747F;0
824;135;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007480;0
825;125;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007481;0
828;123;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007484;0
829;130;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007485;0
830;131;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007486;0
831;124;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x0000000000007487;0
835;163;32;1;0;1;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;SITS1\daniel.gidlof;2007-03-19 10:14:24.950;0x000000000000748B;0
1143;312;65;1;1;1;SAMRUMDev;2007-11-04 15:42:37.733;SAMRUMDev;2007-11-04 15:42:37.733;0x000000000001113B;0
1144;311;65;1;1;1;SAMRUMDev;2007-11-04 15:45:11.733;SAMRUMDev;2007-11-04 15:45:11.733;0x0000000000011140;0
1235;210;32;1;0;1;SAMRUMDev;2007-12-23 20:32:33.380;SAMRUMDev;2007-12-23 20:32:33.380;0x0000000000013604;0
1344;370;75;1;0;1;SAMRUMDev;2008-05-01 19:05:35.403;SAMRUMDev;2008-05-01 19:05:35.403;0x000000000001595C;0
1348;369;77;0;1;0;SAMRUMDev;2008-05-01 20:33:18.717;SAMRUMDev;2008-05-01 20:33:18.717;0x000000000001599F;0
1349;369;75;1;0;1;SAMRUMDev;2008-05-01 20:33:18.717;SAMRUMDev;2008-05-01 20:33:18.717;0x00000000000159A0;0
1352;373;77;1;1;1;SAMRUMDev;2008-05-02 07:48:23.670;SAMRUMDev;2008-05-02 07:48:23.670;0x0000000000015A26;0
1354;372;77;1;0;1;SAMRUMDev;2008-05-02 08:08:17.170;SAMRUMDev;2008-05-02 08:08:17.170;0x0000000000015A35;0
1360;376;79;1;1;1;SAMRUMDev;2008-05-02 09:11:27.170;SAMRUMDev;2008-05-02 09:11:27.170;0x0000000000015A89;0
1363;374;77;1;0;1;SAMRUMDev;2008-05-02 11:01:28.670;SAMRUMDev;2008-05-02 11:01:28.670;0x0000000000015BE8;0
1365;379;75;1;1;1;SAMRUMDev;2008-05-02 11:13:27.013;SAMRUMDev;2008-05-02 11:13:27.013;0x0000000000015BFB;0
1366;380;75;1;1;1;SAMRUMDev;2008-05-02 11:15:33.107;SAMRUMDev;2008-05-02 11:15:33.107;0x0000000000015BFD;0
1384;384;79;1;0;1;SAMRUMDev;2008-05-02 20:17:35.653;SAMRUMDev;2008-05-02 20:17:35.653;0x0000000000015DB3;0
1385;385;79;1;0;1;SAMRUMDev;2008-05-02 20:19:56.403;SAMRUMDev;2008-05-02 20:19:56.403;0x0000000000015DBB;0
1392;388;73;1;0;1;SAMRUMDev;2008-05-03 18:09:43.187;SAMRUMDev;2008-05-03 18:09:43.187;0x0000000000015E10;0
1407;395;78;1;1;1;SAMRUMDev;2008-05-03 21:55:31.797;SAMRUMDev;2008-05-03 21:55:31.797;0x0000000000015ED6;0
1433;399;78;1;1;1;SAMRUMDev;2008-05-09 15:25:31.473;SAMRUMDev;2008-05-09 15:25:31.473;0x0000000000016423;0
1459;405;82;1;1;1;SAMRUMUser;2008-05-19 19:14:28.680;SAMRUMUser;2008-05-19 19:14:28.680;0x0000000000019AF1;0
1470;409;88;1;1;1;SAMRUMUser;2008-05-19 20:19:50.010;SAMRUMUser;2008-05-19 20:19:50.010;0x0000000000019BD3;0
1473;411;82;1;0;1;SAMRUMUser;2008-05-19 20:33:47.000;SAMRUMUser;2008-05-19 20:33:47.000;0x0000000000019C0E;0
1474;412;82;1;1;1;SAMRUMUser;2008-05-19 20:37:47.483;SAMRUMUser;2008-05-19 20:37:47.483;0x0000000000019C1B;0
1549;437;93;1;0;1;SAMRUMUser;2008-07-11 14:23:07.520;SAMRUMUser;2008-07-11 14:23:07.520;0x000000000001B9BD;0
1551;438;93;1;0;1;SAMRUMUser;2008-07-11 14:27:58.210;SAMRUMUser;2008-07-11 14:27:58.210;0x000000000001B9C9;0
1552;440;94;1;1;1;SAMRUMUser;2008-08-05 15:42:25.647;SAMRUMUser;2008-08-05 15:42:25.647;0x000000000001BB53;0
1595;448;83;1;0;1;SAMRUMUser;2008-08-31 19:53:32.923;SAMRUMUser;2008-08-31 19:53:32.923;0x000000000001C370;0
