OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
443;499;243;1;SAMRUMDev;2007-11-04 14:13:49.687;SAMRUMDev;2007-11-04 14:13:49.687;0x0000000000010FB3
472;1041;239;1;SAMRUMDev;2007-11-09 10:34:11.530;SAMRUMDev;2007-11-09 10:34:11.530;0x000000000001161B
473;1041;240;1;SAMRUMDev;2007-11-09 10:34:36.000;SAMRUMDev;2007-11-09 10:34:36.000;0x000000000001161D
474;1041;241;1;SAMRUMDev;2007-11-09 10:35:08.857;SAMRUMDev;2007-11-09 10:35:08.857;0x000000000001161F
476;1041;499;1;SAMRUMDev;2007-11-09 10:36:22.000;SAMRUMDev;2007-11-09 10:36:22.000;0x0000000000011625
477;1041;244;1;SAMRUMDev;2007-11-09 10:36:52.763;SAMRUMDev;2007-11-09 10:36:52.763;0x0000000000011628
478;1041;245;1;SAMRUMDev;2007-11-09 10:37:13.700;SAMRUMDev;2007-11-09 10:37:13.700;0x000000000001162A
479;1041;246;1;SAMRUMDev;2007-11-09 10:37:36.450;SAMRUMDev;2007-11-09 10:37:36.450;0x000000000001162C
706;1455;1458;1;SAMRUMUser;2008-05-19 19:28:42.590;SAMRUMUser;2008-05-19 19:28:42.590;0x0000000000019B3E
707;1453;1459;1;SAMRUMUser;2008-05-19 19:31:42.717;SAMRUMUser;2008-05-19 19:31:42.717;0x0000000000019B44
708;1454;1460;1;SAMRUMUser;2008-05-19 19:35:11.670;SAMRUMUser;2008-05-19 19:35:11.670;0x0000000000019B4C
709;1455;1456;1;SAMRUMUser;2008-05-19 20:42:45.750;SAMRUMUser;2008-05-19 20:42:45.750;0x0000000000019C38
800;1624;1620;1;SAMRUMUser;2008-08-31 12:37:30.913;SAMRUMUser;2008-08-31 12:37:30.913;0x000000000001C332
801;1622;1623;1;SAMRUMUser;2008-08-31 12:38:14.380;SAMRUMUser;2008-08-31 12:38:14.380;0x000000000001C338
858;1665;341;1;SAMRUMUser;2008-09-14 14:11:02.073;SAMRUMUser;2008-09-14 14:11:02.073;0x000000000001D322
859;1665;342;1;SAMRUMUser;2008-09-14 14:11:21.527;SAMRUMUser;2008-09-14 14:11:21.527;0x000000000001D324
860;1665;343;1;SAMRUMUser;2008-09-14 14:11:43.447;SAMRUMUser;2008-09-14 14:11:43.447;0x000000000001D326
877;499;1678;1;SAMRUMUser;2008-09-22 12:42:00.743;SAMRUMUser;2008-09-22 12:42:00.743;0x000000000001E9F0
879;1679;1680;1;SAMRUMUser;2008-09-22 13:02:39.437;SAMRUMUser;2008-09-22 13:02:39.437;0x000000000001EA4A
894;1041;250;1;SAMRUMUser;2008-10-20 19:13:25.540;SAMRUMUser;2008-10-20 19:13:25.540;0x000000000002132B
910;454;1723;1;SAMRUMUser;2008-11-18 10:21:25.647;SAMRUMUser;2008-11-18 10:21:25.647;0x0000000000023510
921;1733;1738;1;SAMRUMUser;2008-11-25 08:41:07.630;SAMRUMUser;2008-11-25 08:41:07.630;0x0000000000023CD0
968;454;793;1;SAMRUMUser;2008-12-20 12:04:23.510;SAMRUMUser;2008-12-20 12:04:23.510;0x00000000000266AE
995;1041;1821;1;SAMRUMUser;2009-02-15 17:53:36.120;SAMRUMUser;2009-02-15 17:53:36.120;0x0000000000028585
999;891;1825;1;SAMRUMUser;2009-02-15 18:35:33.077;SAMRUMUser;2009-02-15 18:35:33.077;0x00000000000285C6
1005;891;1828;1;SAMRUMUser;2009-02-15 20:42:00.680;SAMRUMUser;2009-02-15 20:42:00.680;0x00000000000285F0
1008;1040;1145;1;SAMRUMUser;2009-02-15 20:56:27.320;SAMRUMUser;2009-02-15 20:56:27.320;0x0000000000028605
1009;1040;1144;1;SAMRUMUser;2009-02-15 20:57:51.410;SAMRUMUser;2009-02-15 20:57:51.410;0x0000000000028606
1010;891;1830;1;SAMRUMUser;2009-02-15 21:04:16.660;SAMRUMUser;2009-02-15 21:04:16.660;0x000000000002860C
1014;891;1832;1;SAMRUMUser;2009-02-15 21:11:52.127;SAMRUMUser;2009-02-15 21:11:52.127;0x000000000002862F
1016;891;1833;1;SAMRUMUser;2009-02-15 21:27:04.937;SAMRUMUser;2009-02-15 21:27:04.937;0x000000000002863D
1018;1145;1182;1;SAMRUMUser;2009-02-16 08:36:14.483;SAMRUMUser;2009-02-16 08:36:14.483;0x0000000000028646
1028;891;892;1;SAMRUMUser;2009-02-24 15:04:12.630;SAMRUMUser;2009-02-24 15:04:12.630;0x000000000002965F
1035;1145;1146;1;SAMRUMUser;2009-02-28 20:09:28.793;SAMRUMUser;2009-02-28 20:09:28.793;0x00000000000299C3
1036;1182;1183;1;SAMRUMUser;2009-02-28 20:10:22.360;SAMRUMUser;2009-02-28 20:10:22.360;0x00000000000299C4
