OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
660;325;32;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;0x0000000000007787
664;329;32;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;0x0000000000007788
688;345;32;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;0x0000000000007791
709;361;32;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;0x000000000000779B
1693;663;32;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;SITS1\daniel.gidlof;2007-03-19 10:14:24.997;0x0000000000007903
2006;808;32;0;SAMRUMDev;2007-03-22 18:27:24.990;SAMRUMDev;2007-03-22 18:27:24.990;0x00000000000081A5
2035;598;32;0;SAMRUMDev;2007-03-26 09:40:24.653;SAMRUMDev;2007-03-26 09:40:24.653;0x0000000000009092
2036;823;32;0;SAMRUMDev;2007-03-27 14:07:09.730;SAMRUMDev;2007-03-27 14:07:09.730;0x000000000000987A
2671;307;32;0;SAMRUMDev;2007-11-04 13:28:30.780;SAMRUMDev;2007-11-04 13:28:30.780;0x0000000000010F70
2672;307;64;1;SAMRUMDev;2007-11-04 13:28:30.780;SAMRUMDev;2007-11-04 13:28:30.780;0x0000000000010F71
2673;357;32;0;SAMRUMDev;2007-11-04 13:29:50.543;SAMRUMDev;2007-11-04 13:29:50.543;0x0000000000010F74
2674;358;32;0;SAMRUMDev;2007-11-04 13:30:06.513;SAMRUMDev;2007-11-04 13:30:06.513;0x0000000000010F77
2677;359;32;0;SAMRUMDev;2007-11-04 13:31:00.250;SAMRUMDev;2007-11-04 13:31:00.250;0x0000000000010F7F
2678;360;32;0;SAMRUMDev;2007-11-04 13:31:25.530;SAMRUMDev;2007-11-04 13:31:25.530;0x0000000000010F82
2682;355;32;0;SAMRUMDev;2007-11-04 14:02:37.483;SAMRUMDev;2007-11-04 14:02:37.483;0x0000000000010F8E
2683;353;32;0;SAMRUMDev;2007-11-04 14:03:31.623;SAMRUMDev;2007-11-04 14:03:31.623;0x0000000000010F91
2684;354;32;0;SAMRUMDev;2007-11-04 14:04:36.983;SAMRUMDev;2007-11-04 14:04:36.983;0x0000000000010F94
2685;346;32;0;SAMRUMDev;2007-11-04 14:04:56.530;SAMRUMDev;2007-11-04 14:04:56.530;0x0000000000010F97
2686;347;32;0;SAMRUMDev;2007-11-04 14:05:11.640;SAMRUMDev;2007-11-04 14:05:11.640;0x0000000000010F9A
2687;348;32;0;SAMRUMDev;2007-11-04 14:07:05.920;SAMRUMDev;2007-11-04 14:07:05.920;0x0000000000010F9D
2688;349;32;0;SAMRUMDev;2007-11-04 14:07:28.920;SAMRUMDev;2007-11-04 14:07:28.920;0x0000000000010FA0
2689;344;32;0;SAMRUMDev;2007-11-04 14:07:46.170;SAMRUMDev;2007-11-04 14:07:46.170;0x0000000000010FA3
2690;664;32;0;SAMRUMDev;2007-11-04 14:08:23.670;SAMRUMDev;2007-11-04 14:08:23.670;0x0000000000010FA6
2691;356;32;0;SAMRUMDev;2007-11-04 14:09:57.873;SAMRUMDev;2007-11-04 14:09:57.873;0x0000000000010FA9
2692;310;32;0;SAMRUMDev;2007-11-04 14:12:19.280;SAMRUMDev;2007-11-04 14:12:19.280;0x0000000000010FAC
2695;243;32;0;SAMRUMDev;2007-11-04 14:13:49.687;SAMRUMDev;2007-11-04 14:13:49.687;0x0000000000010FB4
2696;243;64;1;SAMRUMDev;2007-11-04 14:13:49.687;SAMRUMDev;2007-11-04 14:13:49.687;0x0000000000010FB5
2702;332;32;0;SAMRUMDev;2007-11-04 14:16:11.780;SAMRUMDev;2007-11-04 14:16:11.780;0x0000000000010FC2
2703;333;32;0;SAMRUMDev;2007-11-04 14:16:30.107;SAMRUMDev;2007-11-04 14:16:30.107;0x0000000000010FC5
2705;807;32;0;SAMRUMDev;2007-11-04 14:17:04.700;SAMRUMDev;2007-11-04 14:17:04.700;0x0000000000010FCB
2707;336;32;0;SAMRUMDev;2007-11-04 14:17:36.293;SAMRUMDev;2007-11-04 14:17:36.293;0x0000000000010FD1
2709;331;32;0;SAMRUMDev;2007-11-04 14:18:18.280;SAMRUMDev;2007-11-04 14:18:18.280;0x0000000000010FD7
2710;326;32;0;SAMRUMDev;2007-11-04 14:18:36.357;SAMRUMDev;2007-11-04 14:18:36.357;0x0000000000010FDA
2711;330;32;0;SAMRUMDev;2007-11-04 14:19:07.000;SAMRUMDev;2007-11-04 14:19:07.000;0x0000000000010FDD
2712;328;32;0;SAMRUMDev;2007-11-04 14:19:25.200;SAMRUMDev;2007-11-04 14:19:25.200;0x0000000000010FE0
2713;324;32;0;SAMRUMDev;2007-11-04 14:19:58.060;SAMRUMDev;2007-11-04 14:19:58.060;0x0000000000010FE3
2715;810;32;0;SAMRUMDev;2007-11-04 14:20:49.060;SAMRUMDev;2007-11-04 14:20:49.060;0x0000000000010FE9
2716;311;32;0;SAMRUMDev;2007-11-04 14:21:08.700;SAMRUMDev;2007-11-04 14:21:08.700;0x0000000000010FEC
2717;315;32;0;SAMRUMDev;2007-11-04 14:21:24.810;SAMRUMDev;2007-11-04 14:21:24.810;0x0000000000010FEF
2718;297;32;0;SAMRUMDev;2007-11-04 14:21:42.437;SAMRUMDev;2007-11-04 14:21:42.437;0x0000000000010FF2
2726;313;32;0;SAMRUMDev;2007-11-04 14:25:22.373;SAMRUMDev;2007-11-04 14:25:22.373;0x0000000000011009
2730;314;32;0;SAMRUMDev;2007-11-04 14:27:44.810;SAMRUMDev;2007-11-04 14:27:44.810;0x0000000000011016
2731;295;32;0;SAMRUMDev;2007-11-04 14:28:08.187;SAMRUMDev;2007-11-04 14:28:08.187;0x0000000000011019
2732;312;32;0;SAMRUMDev;2007-11-04 14:28:32.827;SAMRUMDev;2007-11-04 14:28:32.827;0x000000000001101C
2733;296;32;0;SAMRUMDev;2007-11-04 14:29:03.700;SAMRUMDev;2007-11-04 14:29:03.700;0x000000000001101F
2927;239;32;0;SAMRUMDev;2007-11-09 10:34:11.530;SAMRUMDev;2007-11-09 10:34:11.530;0x000000000001161C
2928;240;32;0;SAMRUMDev;2007-11-09 10:34:36.000;SAMRUMDev;2007-11-09 10:34:36.000;0x000000000001161E
2929;241;32;0;SAMRUMDev;2007-11-09 10:35:08.873;SAMRUMDev;2007-11-09 10:35:08.873;0x0000000000011620
2933;499;32;0;SAMRUMDev;2007-11-09 10:36:22.000;SAMRUMDev;2007-11-09 10:36:22.000;0x0000000000011626
2934;499;64;1;SAMRUMDev;2007-11-09 10:36:22.000;SAMRUMDev;2007-11-09 10:36:22.000;0x0000000000011627
2935;244;32;0;SAMRUMDev;2007-11-09 10:36:52.780;SAMRUMDev;2007-11-09 10:36:52.780;0x0000000000011629
2936;245;32;0;SAMRUMDev;2007-11-09 10:37:13.700;SAMRUMDev;2007-11-09 10:37:13.700;0x000000000001162B
2937;246;32;0;SAMRUMDev;2007-11-09 10:37:36.450;SAMRUMDev;2007-11-09 10:37:36.450;0x000000000001162D
3103;1152;32;0;SAMRUMDev;2007-12-01 12:17:40.220;SAMRUMDev;2007-12-01 12:17:40.220;0x0000000000012AD1
3104;1153;32;0;SAMRUMDev;2007-12-01 12:18:26.767;SAMRUMDev;2007-12-01 12:18:26.767;0x0000000000012AD5
3107;1156;32;0;SAMRUMDev;2007-12-01 12:22:36.487;SAMRUMDev;2007-12-01 12:22:36.487;0x0000000000012AE9
3108;1157;32;0;SAMRUMDev;2007-12-01 12:24:00.220;SAMRUMDev;2007-12-01 12:24:00.220;0x0000000000012AED
