OT_ID;OT_DT_ID_DataType;OT_NameSingular;OT_NamePlural;OT_DefaultAttributeCaption;OT_Description;OT_ObjectIsAbstract;OT_OTC_ID_Classification;OT_DatabaseId;OT_ExistsOnlyInParentScope;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;OT_IdIsIdentity;OT_OTR_ID_IdObjectTypeRelationship
1;1;Text;Texter;NULL;NULL;1;NULL;Text;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000737F;0;NULL
2;2;Nummer;Nummer;NULL;NULL;1;NULL;Nummer;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007A52;0;NULL
3;3;Bild;Bilder;NULL;NULL;1;NULL;Bild;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007381;0;NULL
4;4;Ljud;Ljud;NULL;NULL;1;NULL;Ljud;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007382;0;NULL
5;5;Film;Filmer;NULL;NULL;1;NULL;Film;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007383;0;NULL
6;6;Datum;Datum;NULL;NULL;1;NULL;Datum;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007384;0;NULL
13;7;Ja/Nej;Ja/Nej;NULL;NULL;1;NULL;Ja/Nej;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007385;0;NULL
14;1;Länk;Länkar;NULL;NULL;1;NULL;Länk;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007386;0;NULL
15;9;PDF-Dokument;PDF-Dokument;NULL;NULL;1;NULL;PDF-Dokument;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007387;0;NULL
16;10;Word-Dokument;Word-Dokument;NULL;NULL;1;NULL;Word-Dokument;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007388;0;NULL
17;11;Excel-dokument;Excel-dokument;NULL;NULL;1;NULL;Excel-dokument;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x0000000000007389;0;NULL
19;12;Powerpointpresentation;Powerpointpresentationer;NULL;NULL;1;NULL;Powerpointpresentation;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000738A;0;NULL
20;13;Fil;Filer;NULL;Övriga filtyper;1;NULL;Fil;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000738B;0;NULL
116;14;ID tillträdesobjekt;ID tillträdesobjekt;ID tillträdesobjekt;Den unika identiteten för dörren;0;NULL;DörrID;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2022-10-14 15:53:42.677;0x00000000000803F3;0;NULL
117;14;Väggtypsbeteckning;VÄGGTYPSBETECKNINGAR;Väggtypsbeteckning;NULL;1;52;Väggtyp;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2015-06-07 11:03:20.340;0x000000000005308F;0;NULL
118;14;Dörrtyp;Dörrtyper;Egen benämning dörrtyp;NULL;1;3;DörrID-Dörrtyp;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2009-03-16 17:17:28.610;0x000000000002A530;0;NULL
119;14;Benämning dörr;Benämningar dörrar;Benämning dörr;Här anges de olika benämningar man vill ha på dörrarna för att sortera dem, tex toadörr, kontorsdörr;1;71;DörrID-Benämn dörr;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2015-06-23 15:12:50.667;0x0000000000053E05;0;NULL
122;14;Larm och säkerhetstyp;Larm och säkerhetstyp;Larm och säkerhetstyp;NULL;1;3;DörrID-Larm o säktyp;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000739C;0;NULL
123;14;Utförande;Utförande;Ange utförande efter anv.område (SS rad 4.1);NULL;1;6;DörrID-Dörrtyp-Utförande;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000739D;0;NULL
124;14;Öppningssätt;Öppningssätt;Ange öppningssätt (SS rad 4.3);NULL;1;6;DörrID-Dörrtyp-Öppningssätt;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000739E;0;NULL
125;14;Komponent;Komponent;Ange komponent (SS rad 4.2);NULL;1;6;DörrID-Dörrtyp-Komponent;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x000000000000739F;0;NULL
128;14;Dörrdelning;Dörrdelning;Ange delning på dörren (SS rad 5.3);NULL;1;6;DörrID-Dörrtyp-Dörrdelning;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x00000000000073A2;0;NULL
129;14;Dörrklass;Dörrklasser;Ange dörrklass (SS rad 6);NULL;1;6;DörrID-Dörrtyp-Dörrklass;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x00000000000073A3;0;NULL
130;14;Virkesklass;Virkesklass;Ange virkesklass (SS rad 7);NULL;1;6;DörrID-Dörrtyp-Virkesklass;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x00000000000073A4;0;NULL
131;14;Värmeisolering;Värmeisolering;Ange krav på värmeisolering (SS rad 8.1);NULL;1;6;DörrID-Dörrtyp-Värmeisol;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x00000000000073A5;0;NULL
132;14;Brandklass;Brandklass;Ange brandklass SS rad 8.2);Brandklasser enl SIS-standarden SS 817340;1;60;DörrID-Dörrtyp-Brandklass;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2015-06-23 13:39:25.850;0x0000000000053DB6;0;NULL
133;14;Ljudisolering;Ljudisolering;Ange ljudisolering (SS rad 8.3);Ljudredovisning enl SS 817340;1;21;DörrID-Dörrtyp-Ljudisolering;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2015-06-23 13:45:32.763;0x0000000000053DB9;0;NULL
134;14;Sökerhetsklass;Säkerhetsklass;Ange säkerhetsklass (SS rad 8.4);Säkerhetsklasser enl SIS-standarden;1;68;DörrID-Dörrtyp-Säkerhetsklass;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SAMRUMUser;2015-06-23 13:24:19.097;0x0000000000053DA7;0;NULL
135;14;Dörrventilation;Dörrventilation;Ange dörrventilation (SS rad 8.5);NULL;1;6;DörrID-Dörrtyp-Dörrventilation;0;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;SITS1\daniel.gidlof;2007-03-19 10:14:24.933;0x00000000000073A9;0;NULL
