PMF_ID;PMF_PMF_ID_ParentProjectModuleFolder;PMF_Name;PMF_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE
1;NULL;1. Lokalprogram;NULL;SAMRUMUser;2008-08-04 22:02:37.320;SAMRUMUser;2009-12-16 21:12:19.143
2;NULL;3. Projekteringsskedet;NULL;SAMRUMUser;2008-08-04 22:02:59.650;SAMRUMUser;2013-09-03 13:57:25.140
3;NULL;4. Produktionsskedet;NULL;SAMRUMUser;2008-08-04 22:03:25.087;SAMRUMUser;2013-09-03 13:57:41.483
4;NULL;5. Förvaltningsskedet;NULL;SAMRUMUser;2008-08-04 22:03:50.413;SAMRUMUser;2013-09-03 13:57:55.660
9;2;3.1 Arkitektmoduler;NULL;SAMRUMUser;2009-09-03 20:06:19.807;SAMRUMUser;2013-09-03 14:10:05.543
10;2;3.0 Allmänt;NULL;SAMRUMUser;2009-09-03 20:40:01.830;SAMRUMUser;2013-09-03 14:08:34.050
11;2;3.2 Brandskyddsprojektering;NULL;SAMRUMUser;2009-09-03 20:41:30.533;SAMRUMUser;2013-09-03 14:14:08.010
12;2;3.4 Passage och säkerhet;NULL;SAMRUMUser;2009-09-03 20:42:12.533;SAMRUMUser;2013-09-03 14:19:26.613
13;2;3.5 Elprojektering;NULL;SAMRUMUser;2009-09-03 20:43:21.253;SAMRUMUser;2013-09-03 14:19:53.333
14;2;3.3 Dörrprocessen;NULL;SAMRUMUser;2009-09-05 16:55:48.447;SAMRUMUser;2013-09-03 14:19:01.887
15;NULL;Leveransplanering;NULL;SAMRUMUser;2009-09-28 20:44:52.760;SAMRUMUser;2013-09-03 13:58:51.497
16;NULL;Projektstyrning;NULL;SAMRUMUser;2009-10-03 14:28:03.233;SAMRUMUser;2013-09-03 13:59:20.410
19;16;6.3 Produktion;NULL;SAMRUMUser;2009-10-09 09:51:55.020;SAMRUMUser;2009-10-19 12:38:11.713
20;19;6.3.4 Skyddsfrågor;NULL;SAMRUMUser;2009-10-09 10:21:44.340;SAMRUMUser;2009-10-19 12:39:38.963
21;19;6.3.1 Ekonomi;NULL;SAMRUMUser;2009-10-09 10:24:03.760;SAMRUMUser;2009-10-19 12:38:41.540
23;16;6.2 Upphandling;NULL;SAMRUMUser;2009-10-11 20:07:20.500;SAMRUMUser;2009-10-19 12:37:14.900
24;16;6.1 Företagsintern adresslista;NULL;SAMRUMUser;2009-10-12 12:08:47.477;SAMRUMUser;2009-10-19 12:36:55.493
25;16;6.4 Besiktningar;NULL;SAMRUMUser;2009-10-12 16:14:54.920;SAMRUMUser;2009-10-19 12:40:06.947
26;NULL;Förstudie;NULL;SAMRUMUser;2009-10-16 13:25:58.247;SAMRUMUser;2022-03-29 21:05:06.227
27;NULL;Ritningsarkiv;NULL;SAMRUMUser;2009-10-16 14:32:49.063;SAMRUMUser;2013-09-03 13:59:48.637
28;4;Systematiskt brandskyddsarbete;NULL;SAMRUMUser;2010-01-18 08:31:10.310;SAMRUMUser;2010-01-18 08:31:10.310
29;14;Låssmed;NULL;SAMRUMUser;2010-03-21 21:27:18.617;SAMRUMUser;2010-03-21 21:27:18.617
30;14;Dörrar Teknik m separat larm/säk;NULL;SAMRUMUser;2010-04-10 10:38:51.850;SAMRUMUser;2010-04-10 10:38:51.850
31;NULL;IFC;NULL;SAMRUMUser;2010-04-13 16:52:04.893;SAMRUMUser;2010-04-20 13:57:58.560
32;16;6.0 Beställarkontrakt;NULL;SAMRUMUser;2011-05-31 21:10:18.770;SAMRUMUser;2011-05-31 21:10:53.750
33;2;3.6 VVS-projektering;NULL;SAMRUMUser;2011-07-02 08:02:16.330;SAMRUMUser;2017-02-24 11:18:31.033
